TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,150,1,2.5,217.552026177349,2.51581196492771,0.252253657512483,1.56
2,102,1,1.5,224.243310142439,1.50769461289747,0.644856995946611,1.4
3,24,1,1,229.987076093923,1.01471582829254,0.653235102945473,1.59
4,68,1,1,234.930280968605,1.03046618950611,0.761511629636516,1.29
5,155,1,1.5,240.097610155804,1.51422343745071,0.210428969730856,1.4
6,20,1,2.5,246.323299876123,2.51407974419999,0.978301440351061,1.73
7,6,1,1.5,253.023940584157,1.51391966230585,0.995196957810549,1.44
8,167,1,1,258.902523001903,1.01101872665458,0.670077064656653,1.73
9,75,1,2,264.442151758223,2.01387386191345,NaN,1.66
10,142,1,2,270.578081481392,2.01202428679971,0.895053001164342,1.3
11,62,1,2.5,276.809153114096,2.50684123300016,0.669981659360928,1.3
12,185,2,2,283.424794139661,0,1,1.42
13,134,1,2,289.66921549043,2.00644102825026,0.911853113299003,1.43
14,85,1,2,295.788711797271,2.01276996993693,0.628419482469326,1.29
15,116,1,2.5,302.459739695725,2.50931182051136,0.711717087586294,1.75
16,152,1,2.5,309.298769886227,2.51276836032048,0.545053103589453,1.41
17,64,1,1.5,316.184171441564,1.51145580584125,0.745040753565263,1.64
18,96,1,1.5,321.996667252955,1.50799019374244,0.845047748007346,1.58
19,37,1,1.5,327.781597664158,1.50709145241126,0.978448352805572,1.55
20,191,2,1.5,333.526772746045,0,0,1.66
21,39,1,1.5,339.502912349169,1.51215963940194,0.720040760890697,1.74
22,165,1,1,345.325392646948,1.00691220165754,0.911777901143068,1.67
23,120,1,2,350.604106642058,2.01236522903491,0.103332425132976,1.46
24,193,2,1.5,356.510035847226,0,1,1.31
25,18,1,1.5,362.229268296971,1.51346780407766,0.77846187344403,1.5
26,54,1,2.5,368.14401254199,2.50786932752817,NaN,1.49
27,47,1,2,374.76682067111,2.01092595524096,0.820078776683658,1.29
28,182,2,2,380.782283353154,0,1,1.3
29,25,1,2.5,387.198802107465,2.51387166698987,0.111624784418382,1.49
30,189,2,1.5,393.634274324184,0,1,1.35
31,156,1,1.5,399.328802654723,1.51012481412909,0.728454279058496,1.47
32,11,1,2.5,405.34695980481,2.50954799252213,0.703313812322449,1.6
33,55,1,2,412.092413200939,2.00651858163474,0.71172177005792,1.41
34,110,1,2.5,418.720459549178,2.51272007236548,0.469852657348383,1.71
35,180,1,2.5,425.699659438207,2.50933142834401,NaN,1.55
36,60,1,1.5,432.376897753333,1.50767412711866,0.99504448492371,1.41
37,93,1,1,438.019332157055,1.00763856961566,0.861763868379057,1.51
38,158,1,1.5,443.187948730483,1.50632557613426,NaN,1.44
39,27,1,2,449.09929935637,2.0124498061341,0.278348469902994,1.6
40,139,1,2,455.229184305193,2.00822300021537,0.403496809041826,1.3
41,176,1,1,461.192694119789,1.01203511499625,0.711756303266156,1.32
42,128,1,1.5,466.21213777813,1.50999077846063,0.595021774934139,1.28
43,90,1,1.5,472.013853668759,1.50893985691073,NaN,1.58
44,76,1,1.5,477.986376650166,1.51212598416896,0.845098962512566,1.71
45,80,1,1,483.37572889209,1.00677611742867,NaN,1.25
46,178,1,1.5,488.781331934064,1.51016549306223,0.228341168171028,1.69
47,31,1,2.5,494.869479698726,2.50620061275549,0.119898413831834,1.67
48,81,1,2,501.809777053044,2.00834211052279,0.145006103310152,1.6
49,78,1,2,508.123234087441,2.01231050268689,0.6117718431924,1.49
50,95,1,2.5,514.387232839566,2.50749473001633,NaN,1.34
51,69,1,2.5,521.277628247699,2.50957989183371,0.961747743116575,1.47
52,10,1,2.5,528.179760556115,2.50832733148127,0.903254930264666,1.48
53,63,1,1.5,535.070126113511,1.51031825861719,0.745034900479368,1.63
54,56,1,1.5,540.695752210784,1.51037386292592,0.861648269928992,1.4
55,107,1,2.5,546.815503419522,2.50815408014751,0.720074708791799,1.71
56,186,2,1.5,553.360751430868,0,0,1.46
57,14,1,1.5,559.195615102246,1.51273880225199,0.428390860877698,1.62
58,49,1,1.5,564.878495499419,1.51381694064185,0.745091675416916,1.46
59,140,1,2.5,570.838120328321,2.51345287871663,0.0949709994310979,1.54
60,17,1,2.5,578.073422864094,2.51220353753888,0.995100674539572,1.72
61,169,1,1,584.922774678736,1.01361398489098,NaN,1.66
62,46,1,2.5,590.456444115771,2.50559247714409,0.76178204221651,1.52
63,144,1,1,597.089370181639,1.00683113641571,0.995169448302477,1.45
64,65,1,1.5,602.187327718086,1.50957959918014,0.670100769639248,1.33
65,2,1,1.5,607.918774094593,1.51217895459558,0.636687258796883,1.45
66,83,1,2,613.791592100795,2.00671085550857,0.345058429884375,1.48
67,59,1,1,647.368280255119,1.00915100697603,0.994725784403272,1.39
68,28,1,1,652.745233905414,1.0077164156537,0.628409824872506,1.68
69,71,1,2,657.923521239834,2.01356891612522,0.586691370583139,1.25
70,159,1,1.5,664.236742394874,1.50935308476619,0.436536600376712,1.5
71,73,1,1.5,670.134879972233,1.5119129318482,0.503347233432578,1.59
72,30,1,1.5,675.708741671435,1.51371714552806,0.99513169589045,1.26
73,103,1,2.5,681.529775086397,2.51017661394144,0.445038792779087,1.28
74,74,1,1,688.291577321754,1.00737079093233,0.670042531448416,1.55
75,113,1,1,693.352251287026,1.0055501885945,0.961831442255061,1.37
76,7,1,2,698.884028421424,2.00796048932534,0.853356495936168,1.62
77,109,1,1.5,705.140244032707,1.51071773172589,0.503468099661404,1.44
78,105,1,1.5,710.788750720298,1.51296268276928,0.536567007147823,1.32
