TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,6,1,1.5,223.867512469151,1.501923160773,0.760551777260844,1.63
2,49,1,1,229.263275047822,1.00507779998588,0.861492037947755,1.48
3,116,1,2.5,234.334144173685,2.50084356858861,0.278053081769031,1.55
4,82,1,1.5,241.014649267134,1.5034715810325,0.744745365198469,1.74
5,195,2,1.5,246.563002793933,0,0,1.68
6,158,1,2,251.976963919849,2.00812723091803,0.610390423738863,1.45
7,197,2,2.5,257.982243649516,0,1,1.55
8,167,1,2.5,264.36214128579,2.50526378015638,0.861159585620044,1.37
9,126,1,1.5,270.544152511342,1.50595297495602,1.00002575336839,1.25
10,138,1,1.5,276.100931481138,1.49907126976177,0.995005020464305,1.63
11,165,1,2.5,281.817123403307,2.49928022309905,NaN,1.69
12,38,1,1.5,288.484249630739,1.49850440336741,0.56157143440214,1.72
13,34,1,1,293.88611429045,1.01310201751767,NaN,1.54
14,198,2,1.5,298.853667408926,0,1,1.62
15,14,1,1.5,304.437871649396,1.51111447333824,0.861570175999077,1.67
16,183,2,1.5,309.564778604574,0,0,1.28
17,174,1,1.5,315.015541854897,1.49963023452437,0.944912996084895,1.56
18,171,1,1,320.544181191217,1.00421067295247,NaN,1.66
19,131,1,2.5,325.541631609405,2.50639985414455,NaN,1.49
20,50,1,2.5,331.877104421932,2.5040615668986,0.578265459102113,1.31
21,76,1,1.5,338.538744600199,1.50889851452666,0.411762433534022,1.71
22,78,1,2.5,344.1774645884,2.50327843090054,0.811617453844519,1.62
23,110,1,2.5,350.732263476675,2.49809615421691,NaN,1.52
24,20,1,2.5,357.204058142874,2.50956605310785,NaN,1.46
25,111,1,2,363.605556695256,2.00781965395436,NaN,1.42
26,75,1,1.5,369.376921660936,1.50275107249035,NaN,1.35
27,61,1,2,374.973527895985,2.00598326441832,NaN,1.64
28,65,1,1.5,381.068533765123,1.51080338458996,NaN,1.67
29,17,1,1,386.492970944644,1.00288232677849,NaN,1.55
30,55,1,2,391.317282459524,2.01158637425397,0.861623731238069,1.37
31,103,1,2.5,397.511847565911,2.50017193288659,NaN,1.67
32,129,1,1,403.870467958855,1.00801397470059,0.82836064408184,1.47
33,46,1,2,408.670207264717,2.0079864654399,0.528254791948711,1.34
34,3,1,1.5,414.601708617789,1.50968252847088,0.761592446768191,1.51
35,21,1,1.5,419.82083832426,1.50705100421328,0.728284876531688,1.3
36,1,1,2,425.165230283252,2.01246608531801,0.794825390825281,1.38
37,77,1,2.5,431.16847842469,2.50885403147549,0.628299538395368,1.48
38,106,1,1,437.432648401475,1.01128084585071,0.811639695399208,1.38
39,128,1,1,442.539874235837,1.00385071133496,NaN,1.74
40,149,1,2.5,447.573676972766,2.50306596574956,NaN,1.53
41,137,1,1,454.15958620215,1.00022153736791,0.678380734636448,1.71
